Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
31/10/2025;9.16;9.2;9.2;8.65;8.659529978429491;1048654;9080850.75;30/10/2025;9.25
30/10/2025;9.3;9.25;9.3;9.25;9.28491051224028;24305;225669.75;29/10/2025;9.3
29/10/2025;9.2;9.3;9.3;9.2;9.212910415773683;23330;214937.2;28/10/2025;9.3
28/10/2025;9.3;9.3;9.3;9.3;9.222784681714431;7886;72730.88;27/10/2025;9.2
27/10/2025;9.2;9.2;9.3;9.2;9.250116538556906;12099;111917.16;24/10/2025;9.2
24/10/2025;9.2;9.2;9.22;9.2;9.202828128699588;38011;349808.7;23/10/2025;9.2
23/10/2025;9.2;9.2;9.2;9.2;9.19188553508428;5102;46897;22/10/2025;9.2
22/10/2025;9.25;9.2;9.25;9.15;9.185781532890767;16570;152208.4;21/10/2025;9.15
21/10/2025;9.3;9.15;9.3;9.12;9.146356192805008;26991;246869.3;20/10/2025;9.28
20/10/2025;9.28;9.28;9.28;9.28;9.273439981317143;4282;39708.87;17/10/2025;9.3
17/10/2025;9.3;9.3;9.3;9.28;9.29328455470447;8747;81288.36;16/10/2025;9.28
16/10/2025;9.3;9.28;9.3;9.28;9.290381913398901;78290;727344;15/10/2025;9.25
15/10/2025;9.25;9.25;9.25;9.25;9.252914446881855;15955;147630.25;14/10/2025;9.25
14/10/2025;9.2;9.25;9.25;9.2;9.211247549019607;12240;112745.67;13/10/2025;9.2
13/10/2025;9.26;9.2;9.26;9.2;9.20570109546166;6390;58824.43;10/10/2025;9.26
10/10/2025;9.3;9.26;9.3;9.26;9.316859197907585;4588;42745.75;09/10/2025;9.4
09/10/2025;9.32;9.4;9.4;9.32;9.335521899886235;14064;131294.78;07/10/2025;9.4
07/10/2025;9.38;9.4;9.42;9.38;9.398870311542105;17943;168643.93;06/10/2025;9.45
06/10/2025;9.15;9.45;9.45;9.15;9.305519946586546;23964;222997.48;03/10/2025;8.89
03/10/2025;8.95;8.89;8.95;8.89;8.923585619678335;20083;179212.37;02/10/2025;8.87
02/10/2025;8.85;8.87;8.95;8.85;8.931926405891355;41824;373568.89;01/10/2025;8.84
01/10/2025;8.85;8.84;8.85;8.84;8.844600093001628;8602;76081.25;30/09/2025;8.78
30/09/2025;8.78;8.78;8.78;8.78;8.783037095671572;27793;244106.95;29/09/2025;8.78
29/09/2025;8.82;8.78;8.82;8.78;8.785440362742083;26024;228632.3;26/09/2025;8.78
26/09/2025;8.75;8.78;8.8;8.75;8.78569735602725;45651;401075.87;25/09/2025;8.8
25/09/2025;8.7;8.8;8.8;8.7;8.759361568638763;138668;1214643.15;24/09/2025;8.6
24/09/2025;8.65;8.6;8.85;8.6;8.627278795867172;47038;405809.94;22/09/2025;8.61
23/09/2025;;;;;8.754431047475508;1327;11617.13;22/09/2025;8.61
22/09/2025;8.6;8.61;8.7;8.6;8.640826942622194;10823;93519.67;19/09/2025;8.6
19/09/2025;8.65;8.6;8.66;8.6;8.649876506732111;2433412;21048713.29;18/09/2025;8.7
18/09/2025;8.7;8.7;8.7;8.7;8.72061845217979;2959;25804.31;17/09/2025;8.74
17/09/2025;8.85;8.74;8.85;8.74;8.787178718870688;15018;131965.85;16/09/2025;8.87
16/09/2025;8.87;8.87;8.87;8.87;8.909131832797428;3732;33248.88;15/09/2025;9
15/09/2025;9;9;9;9;8.999642091096437;47554;427968.98;12/09/2025;8.9
12/09/2025;8.98;8.9;8.98;8.9;8.92494306049822;5620;50158.18;11/09/2025;8.99
11/09/2025;9;8.99;9;8.99;8.993720245109593;8486;76320.71;10/09/2025;8.95
10/09/2025;8.9;8.95;8.95;8.9;8.94858401084011;7380;66040.55;09/09/2025;8.9
09/09/2025;8.86;8.9;8.9;8.85;8.89789444010461;147215;1309903.53;08/09/2025;8.8
08/09/2025;8.82;8.8;8.82;8.8;8.796806981519508;25324;222770.34;05/09/2025;8.8
05/09/2025;8.8;8.8;8.8;8.7;8.743690111466005;46023;402410.85;04/09/2025;8.8
04/09/2025;8.76;8.8;8.8;8.76;8.79335414808207;6726;59144.1;03/09/2025;8.72
03/09/2025;8.7;8.72;8.75;8.7;8.722112654900487;13315;116134.93;02/09/2025;8.9
02/09/2025;8.75;8.9;8.9;8.7;8.876349809207946;168246;1493410.35;01/09/2025;8.7
01/09/2025;8.98;8.7;8.98;8.7;8.848563308994358;24104;213285.77;29/08/2025;8.9
29/08/2025;8.9;8.9;8.9;8.9;8.910093317104272;17253;153725.84;28/08/2025;8.9
28/08/2025;8.8;8.9;8.9;8.8;8.81458975981439;75858;668657.15;27/08/2025;8.8
27/08/2025;8.9;8.8;8.9;8.8;8.87560555697605;11733;104137.48;26/08/2025;8.93
26/08/2025;8.93;8.93;8.93;8.93;8.936195462478185;4011;35843.08;25/08/2025;8.9
25/08/2025;8.75;8.9;8.9;8.75;8.814431796256994;10366;91370.4;22/08/2025;8.7
22/08/2025;8.9;8.7;8.9;8.7;8.704054891940807;234825;2043929.69;21/08/2025;8.7
