Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado (S/);Fecha anterior;Cierre anterior corregido
31/10/2025;3.32;3.29;3.32;3.27;3.3182216772429594;2165220;7184679.94;30/10/2025;3.32
30/10/2025;3.32;3.32;3.34;3.32;3.334919786360226;202584;675601.39;29/10/2025;3.32
29/10/2025;3.33;3.32;3.33;3.32;3.3292774052130127;92154;306806.23;28/10/2025;3.31
28/10/2025;3.31;3.31;3.32;3.31;3.312253647639579;128028;424061.21;27/10/2025;3.32
27/10/2025;3.31;3.32;3.32;3.3;3.3142660181204717;116774;387020.1;24/10/2025;3.3
24/10/2025;3.32;3.3;3.32;3.3;3.3072516816465765;52181;172575.7;23/10/2025;3.32
23/10/2025;3.3;3.32;3.32;3.3;3.3167112537529766;48295;160180.57;22/10/2025;3.3
22/10/2025;3.32;3.3;3.33;3.3;3.313054248944808;86951;288073.38;21/10/2025;3.3
21/10/2025;3.35;3.3;3.35;3.3;3.3386691065925618;146999;490781.02;20/10/2025;3.35
20/10/2025;3.34;3.35;3.35;3.31;3.3189140839544917;89215;296096.92;17/10/2025;3.34
17/10/2025;3.35;3.34;3.35;3.34;3.3487765769340245;115937;388247.11;16/10/2025;3.35
16/10/2025;3.37;3.35;3.37;3.34;3.359447226827211;171915;577539.37;15/10/2025;3.37
15/10/2025;3.37;3.37;3.37;3.35;3.366534410543103;114122;384195.64;14/10/2025;3.37
14/10/2025;3.37;3.37;3.37;3.35;3.367601558694593;123180;414821.16;13/10/2025;3.39
13/10/2025;3.35;3.39;3.39;3.35;3.3547580927706058;679310;2278920.72;10/10/2025;3.32
10/10/2025;3.31;3.32;3.32;3.31;3.3111337011884547;23560;78010.31;09/10/2025;3.31
09/10/2025;3.35;3.31;3.35;3.28;3.3083865104015984;183193;606073.25;07/10/2025;3.33
07/10/2025;3.33;3.33;3.33;3.32;3.320282087740555;1826453;6064339.18;06/10/2025;3.33
06/10/2025;3.33;3.33;3.34;3.3;3.3258652673231976;268888;894285.26;03/10/2025;3.34
03/10/2025;3.34;3.34;3.34;3.33;3.335112912049465;78601;262143.21;02/10/2025;3.33
02/10/2025;3.34;3.33;3.34;3.33;3.3323353938743616;214345;714269.43;01/10/2025;3.33
01/10/2025;3.31;3.33;3.33;3.3;3.315808078621526;92392;306354.14;30/09/2025;3.31
30/09/2025;3.34;3.31;3.35;3.31;3.3350121584285826;422752;1409883.06;29/09/2025;3.35
29/09/2025;3.35;3.35;3.35;3.35;3.350273490040351;31226;104615.64;26/09/2025;3.32
26/09/2025;3.35;3.32;3.35;3.32;3.3391728591195613;156104;521258.24;25/09/2025;3.35
25/09/2025;3.36;3.35;3.37;3.35;3.3661398368648037;42664;143612.99;24/09/2025;3.37
24/09/2025;3.37;3.37;3.38;3.37;3.3699835907839875;134071;451817.07;23/09/2025;3.36
23/09/2025;3.37;3.36;3.37;3.36;3.369542829280353;145613;490649.24;22/09/2025;3.37
22/09/2025;3.37;3.37;3.37;3.37;3.369806363913779;108141;364414.23;19/09/2025;3.37
19/09/2025;3.36;3.37;3.37;3.33;3.342010923435293;844423;2822070.89;18/09/2025;3.34
18/09/2025;3.35;3.34;3.36;3.34;3.346924192467131;73093;244636.73;17/09/2025;3.36
17/09/2025;3.4;3.36;3.4;3.36;3.3744360814968175;51683;174400.98;16/09/2025;3.36
16/09/2025;3.35;3.36;3.37;3.35;3.3627638801649504;73234;246268.65;15/09/2025;3.34
15/09/2025;3.34;3.34;3.34;3.33;3.343744947701051;40823;136501.7;12/09/2025;3.37
