Fecha de cotización;Apertura;Cierre;Máximo;Mínimo;Promedio;Cantidad negociada;Monto negociado ($);Fecha anterior;Cierre anterior corregido
31/10/2025;139.35;138.45;139.35;138.45;138.61343344155844;1232;170771.75;30/10/2025;140
30/10/2025;141;140;141;138.9;139.35921501706486;1758;244993.5;29/10/2025;143.12
29/10/2025;140.2;143.12;144;140.2;141.33163220892274;1838;259767.54;28/10/2025;138.2
28/10/2025;130.7;138.2;138.2;130.7;137.0572533748702;1926;263972.27;27/10/2025;133.1
27/10/2025;132.75;133.1;133.1;132.75;132.7617021276596;564;74877.6;24/10/2025;129.2
24/10/2025;130.16;129.2;130.16;129.2;129.85899408284024;338;43892.34;23/10/2025;128.81
23/10/2025;128.92;128.81;128.92;128.81;128.8815350877193;228;29384.99;22/10/2025;127.05
22/10/2025;125.5;127.05;127.05;125.5;125.96466431095406;283;35648;21/10/2025;128.81
21/10/2025;128.74;128.81;128.81;128.74;128.8065759637188;882;113607.4;20/10/2025;134.6
20/10/2025;134.6;134.6;134.6;134.41;134.5659645232816;451;60689.25;17/10/2025;130
17/10/2025;129.7;130;130;129.2;129.65097210481827;1183;153377.1;16/10/2025;133.7
16/10/2025;133;133.7;135.12;133;133.78039897861476;3133;419133.99;15/10/2025;132.05
15/10/2025;131.5;132.05;132.05;131.5;131.5712482219061;2812;369978.35;14/10/2025;132.41
14/10/2025;132.41;132.41;132.41;132.41;132.34426229508196;1281;169533;13/10/2025;133.54
13/10/2025;132.1;133.54;133.54;132.1;132.7010564663024;549;72852.88;10/10/2025;125.71
10/10/2025;125.84;125.71;125.84;125.71;126.57578680203046;197;24935.43;09/10/2025;133.1
09/10/2025;133.1;133.1;133.1;133.1;132.6044;275;36466.21;07/10/2025;127.25
07/10/2025;127.61;127.25;127.61;127.25;127.24207746478874;1136;144547;06/10/2025;131
06/10/2025;131.6;131;132.73;131;131.87857142857143;1554;204939.3;03/10/2025;128.5
03/10/2025;128.15;128.5;129.49;128.15;128.90497142857143;1225;157908.59;02/10/2025;125.15
02/10/2025;123.5;125.15;125.15;123.38;124.47952579468473;3838;477752.42;01/10/2025;122.7
01/10/2025;122.95;122.7;122.95;122.5;122.6318190954774;995;122018.66;30/09/2025;121
30/09/2025;119.9;121;121;119.6;120.17841541755888;2335;280616.6;29/09/2025;121.36
29/09/2025;120.1;121.36;122;120.1;121.01355731225297;3795;459246.45;25/09/2025;118.5
26/09/2025;;;;;118.45599999999999;20;2369.12;25/09/2025;118.5
25/09/2025;116.5;118.5;118.5;116.5;117.81095662277305;2582;304187.89;24/09/2025;118.82
24/09/2025;120;118.82;121.04;118;119.79129385498617;9406;1126756.91;23/09/2025;110.27
23/09/2025;111.61;110.27;111.65;110.27;111.5422037533512;1865;208026.21;22/09/2025;111.64
22/09/2025;111;111.64;111.64;111;111.18459451489237;3391;377026.96;19/09/2025;109.75
19/09/2025;108.58;109.75;110.8;108.58;109.48767034990792;4344;475614.44;18/09/2025;107.35
18/09/2025;106.66;107.35;107.35;106.66;106.70019719378081;2637;281368.42;17/09/2025;107.24
17/09/2025;107.47;107.24;109.12;107.24;108.39192679002414;2486;269462.33;16/09/2025;109.1
16/09/2025;108.16;109.1;109.1;108.13;108.6238199181446;1466;159242.52;15/09/2025;109.78
15/09/2025;107.21;109.78;110.03;107.21;109.5776806451613;3100;339690.81;12/09/2025;105.4
12/09/2025;106.14;105.4;106.7;105.4;105.96103294746216;1123;118994.24;11/09/2025;105.46
11/09/2025;103.55;105.46;105.46;103.55;104.72061693774536;1783;186716.86;09/09/2025;100.03
10/09/2025;;;;;101.42857142857143;14;1420;09/09/2025;100.03
09/09/2025;105.4;100.03;105.4;100.03;103.51583045835386;4058;420067.24;08/09/2025;103.5
08/09/2025;103.4;103.5;103.5;102.31;102.94796460176991;678;69798.72;05/09/2025;103
05/09/2025;103.25;103;103.25;102.2;102.90877607788595;3595;369957.05;04/09/2025;100.7
