Fecha,ALICORP,CREDICORP,FERREYCORP,SOUTHERN
2024-10-31,6.6,187.69,3.02,112.24
2024-11-04,6.5,184.5,3.0,109.5
2024-11-05,6.5,182.05,2.97,111.7
2024-11-06,6.47,181.8,3.0,110.3
2024-11-07,6.75,183.7,3.0,110.0
2024-11-08,6.68,182.84,3.0,110.0
2024-11-11,6.72,185.0,3.0,107.1
2024-11-12,6.63,185.95,3.0,104.8
2024-11-13,6.6,188.74,2.98,102.3
2024-11-14,6.6,188.67,2.97,101.0
2024-11-15,6.6,187.45,2.98,100.2
2024-11-18,6.64,191.0,2.98,99.2
2024-11-19,6.6,193.51,2.99,101.45
2024-11-20,6.54,192.9,2.96,103.68
2024-11-21,6.62,192.0,2.99,103.6
2024-11-22,6.65,198.3,2.97,101.0
2024-11-25,6.7,197.0,3.0,99.35
2024-11-26,6.58,192.75,3.0,101.44
2024-11-27,6.65,192.45,3.0,98.0
2024-11-28,6.55,190.0,2.97,100.0
2024-11-29,6.55,190.0,2.98,100.0
2024-12-02,6.55,187.97,2.99,100.9
2024-12-03,6.55,192.0,3.01,100.0
2024-12-04,6.52,192.45,2.97,101.1
2024-12-05,6.52,190.35,3.01,101.2
2024-12-06,6.52,193.0,3.0,100.3
2024-12-10,6.52,190.0,2.99,99.95
2024-12-11,6.53,192.0,2.95,103.8
2024-12-12,6.52,194.6,2.95,104.15
2024-12-13,6.53,193.5,2.96,101.5
2024-12-16,6.55,189.96,2.96,99.76
2024-12-17,6.7,185.5,2.99,97.32
2024-12-18,6.66,184.67,2.96,96.3
2024-12-19,6.75,181.1,2.96,93.0
2024-12-20,6.8,180.9,2.94,91.75
2024-12-23,6.8,182.2,2.94,91.75
2024-12-24,6.85,181.0,2.95,93.27
2024-12-26,6.88,182.3,2.96,93.27
2024-12-27,6.95,182.2,2.93,94.1
2024-12-30,6.95,180.85,2.93,94.1
2024-12-31,6.95,180.8,2.93,92.0
2025-01-01,6.9,180.0,2.93,92.0
2025-01-02,6.9,180.0,2.93,92.0
2025-01-03,6.9,183.01,2.91,92.3
2025-01-06,6.85,185.16,2.94,92.68
2025-01-07,6.8,187.85,2.95,93.8
2025-01-08,6.74,186.85,2.96,93.9
2025-01-09,6.75,183.56,2.97,95.03
2025-01-10,6.75,181.9,2.97,95.03
2025-01-13,6.74,178.8,2.97,95.01
2025-01-14,6.75,180.1,2.97,94.52
2025-01-15,6.75,186.25,2.97,95.0
2025-01-16,6.75,191.46,2.96,95.0
2025-01-17,6.75,191.2,2.97,95.0
2025-01-20,6.7,181.1,2.97,98.75
2025-01-21,6.8,190.0,2.99,98.75
2025-01-22,6.8,183.0,2.99,98.02
2025-01-23,6.98,182.3,3.0,96.4
2025-01-24,6.9,181.9,2.97,95.14
2025-01-27,6.9,181.4,3.0,98.2
2025-01-28,6.85,180.0,2.98,94.5
2025-01-29,6.9,183.0,2.99,90.7
2025-01-30,6.9,184.0,2.99,91.42
2025-01-31,6.9,184.9,2.99,92.3
2025-02-03,6.91,184.0,2.98,92.0
2025-02-04,6.9,182.8,3.0,90.1
