"","BAP","SPCCPI1","BUENAVC1","IFS","MINSURI1","INRETC1","CVERDEC1","FERREYC1","CREDITC1","UNACEMC1","ENGIEC1","CPACASC1","BBVAC1","VOLCAAC1","ALICORC1","BROCALC1","ORYGENC1","PODERC1","RIMSEGC1","CASAGRC1","BACKUAC1","NEXAPEC1","AENZAC1","SNJUANC1","CORAREC1","SIDERC1","CARTAVC1"
"31/03/2016",130.65,16.5,24.66,24.9,1.02,16.1,19.38,1.45,4.32,2.25,8.88,5.1,3.5,0.9,6,6,2.79,2.65,1.27,6.73,130.3,2.08,2.74,19.2,0.62,0.22,9.3
"01/04/2016",130.7,16.5,24.66,25.84,1.03,16.85,20.4,1.47,4.35,2.25,8.8,5.2,3.5,0.9,6,6,2.69,2.65,1.27,7.12,128,2.1,2.8,19.2,0.62,0.225,9.3
"04/04/2016",127.55,16.5,24.66,25,0.95,16.45,20,1.45,4.35,2.25,8.8,5.1,3.4,0.9,6,5.9,2.58,2.65,1.27,6.51,128,2.02,2.75,19.2,0.62,0.21,9.3
"05/04/2016",127.5,16.5,24.66,25,0.95,16.2,20,1.45,4.35,2.2,8.8,4.95,3.18,0.9,5.98,5.9,2.54,2.65,1.27,6.5,128,2.02,2.8,19.2,0.62,0.188,9.3
"06/04/2016",125.88,16.5,24.66,24.58,0.92,16.2,19.99,1.42,4.34,2.1,8.8,4.93,3.15,0.9,6,5.9,2.45,2.31,1.26,6.8,128,1.95,2.75,19.2,0.62,0.188,9.3
"07/04/2016",124.9,16.5,24.66,24.5,0.87,15.85,19.79,1.4,4.34,1.98,8.8,4.9,3.15,0.9,5.95,5.9,2.44,2.31,1.26,6.55,128,1.95,2.83,19.2,0.6,0.18,9.3
"08/04/2016",122,16.5,24.66,24.25,0.8,15,18.8,1.33,4.34,1.89,8.49,4.65,3.02,0.9,5.85,5.9,2.35,2.31,1.26,6.43,128,1.79,2.75,19.2,0.58,0.172,9.3
"11/04/2016",125.7,17.5,24.75,24,0.86,15.1,18.5,1.42,4.35,2,8.1,4.7,3.2,0.9,5.8,5.9,2.38,2.31,1.22,6.8,128,2.02,2.7,19.2,0.58,0.182,9.3
"12/04/2016",139,17.5,24.75,26.85,1.03,16.8,19.8,1.6,4.35,2.35,8.75,5.4,3.58,1.04,6.5,6.4,2.6,2.31,1.22,7.4,132.6,2.32,2.8,19.2,0.65,0.212,9.9
"13/04/2016",144.5,17.5,24.75,28,1.06,17,19.8,1.65,4.8,2.5,8.75,5.55,3.75,1.04,6.6,6.2,2.56,2.31,1.22,7.47,132.6,2.3,3.2,19.2,0.65,0.208,10
